excelRow,qid,code,outlinePath,subject,subtopic,confidence,source,reason,questionSnippet,explanationSnippet
"99","17642","82010503","Nature and Ownership of Land > Problems with Interests in Land > Rule Against Perpetuities","Real Property","Ownership","manual","manual_override","manual review: Rule Against Perpetuities and defeasible interests","The landowner conveyed a lakefront parcel of realty to the buyer “unless the realty is used for non-residential purposes, in which case grantor or his successors may re-obtain possession.” Two years later, by a properly executed document th","Under the Rule Against Perpetuities, no interest is good if it can vest after a particular period of time. The creation of an interest that might vest after the period is thus void under the Rule, but the Rule has no effect on the termination of an existing interest. A is incorrect for this reason and because the Rule Against Perpetuities is not applicable to future interests of a grantor. The fee simple determinable and the fee simple subject to a condition subsequent are po"
"100","18351","82010503","Nature and Ownership of Land > Problems with Interests in Land > Rule Against Perpetuities","Real Property","Ownership","manual","manual_override","manual review: Rule Against Perpetuities validity of son's future interest","By a properly executed and recorded deed, the landowner conveyed a parcel of real estate with a building on it as follows: to the church for as long as the land is used by the church for church purposes; and when the land ceases to be so us","Under the Rule Against Perpetuities, no interest is good unless it must vest if at all within a period measured by a life or lives in being plus 21 years. Thus, a future interest that might never vest at all is valid under the Rule so long as the language that created it will prevent it from vesting after the prescribed period (i.e., if it vests, it will do so during the prescribed period). Since the church might never cease using the land for church purposes, and since, even"
"101","17019","82010404","Nature and Ownership of Land > Landlord and Tenant > Assignments and subletting","Real Property","Ownership","manual","manual_override","manual review: landlord-tenant assignment/sublease and rent liability","The landlord, the owner of a seven-story office building, leased the entire sixth floor to an attorney for a period of five years by a written lease that fixed the rent at $2,000 per month. There were only two offices on the sixth floor, id","Unless a landlord specifically agrees to release a tenant from further obligations under a lease, assignment or sublease does not relieve the original tenant from those obligations. For this reason, the landlord can collect unpaid rent from the first attorney. Since the landlord was an intended third-party creditor beneficiary of the agreement between the attorneys, the landlord can also collect from the second attorney. A, B, and D are therefore incorrect."
"102","20838","44040305","Individual Rights > Equal Protection Clause > Rational basis review classifications","Constitutional Law","Individual Rights","high","row_text_rule","rational basis equal protection","A state statute grants state employees an annual 5 percent salary increase. Another statute provides that upon retirement, a state employee shall receive an annual pension equivalent to 60 percent of the salary received during the year imme","Unless it involves a fundamental right (i.e., voting, or marriage and procreation) or discriminates on the basis of a suspect classification, state regulation of social or economic interests is valid if it has a rational basis. Since the United States Supreme Court has held that age is not a suspect classification, the state mandatory retirement law is valid if it has a rational basis. Under this test, if any state of facts can be imagined that would make the legislative choi"
"103","18683","81020103","Non-Possessory Rights and Interests in Land > Easements > Scope","Real Property","Rights in Land","manual","manual_override","manual review: easement scope/duties from grant terms","The owner of one piece of land granted an easement to his neighbor, the owner of the adjacent piece of land. The easement allowed the neighbor to use a 12-foot-wide strip of the owner's land to drive his car from his property to the public ","Unless the parties expressly agree otherwise, the owner of the servient estate is not required to repair or maintain the property used in the easement. Here, there was no express agreement regarding repair between the parties, so the owner who granted the easement has no duty to repair the bridge. B is incorrect, because, although the holder of the easement has an implied right to maintain the property used in the easement, if the servient estate holder does not enjoy any of "
"104","21083","51060101","Remedies > Damages > Expectation damages","Contracts","Remedies","manual","manual_override","manual review: seller resale/contract-resale differential as expectation damages","The plaintiff was the manufacturer of a chair that she usually sold only to furniture dealers. When the plaintiff recently stopped making the product, she found that she had only 75 of the chairs left. As a result, the plaintiff published t","Upon breach by a buyer, UCC §2-706 provides that the seller may resell the goods in a commercially reasonable manner and recover damages equivalent to the difference between the contract price and the price that the seller actually received upon the resale. Here, since the plaintiff resold the chairs at the same price that she had agreed to accept from the defendant, she has sustained no damage at all. (Note: If the plaintiff incurred extra expense in making 75 individual sal"
"105","21363","81020103","Non-Possessory Rights and Interests in Land > Easements > Scope","Real Property","Rights in Land","manual","manual_override","manual review: scope of easement created by grant","The defendant, a water supply company, owned a well adjacent to the plaintiff's land. By a conveyance that properly described the size and location of the easement, the plaintiff granted the defendant an easement across his realty “for the ","When an easement is created by grant, the language of the grant determines the scope of the easement. When that language is unclear, the courts most often determine the scope of the easement on the basis of what could reasonably have been anticipated at the time the easement was created. Although there are insufficient facts to determine whether the argument in C would result in a judgment for the plaintiff, it is the only argument listed that could possibly support his posit"
"106","19965","56050603","Performance, Breach, and Excuse > Excuse of Condition/Discharge of Duty > Frustration of purpose","Contracts","Performance, Breach, and Discharge","high","row_text_rule","frustration of purpose","The plaintiff, a manufacturer of police equipment, obtained a patent for a bulletproof vest made entirely of recycled aluminum cans. On April 1, a police department entered into a written contract with the plaintiff providing for the purcha","When unforeseen circumstances eliminate the underlying reasons for contracting, the doctrine of frustration of purpose may excuse performance by the parties. (If, for example, all the criminals in the city stopped using guns so that there was no longer any reason for the police department to need bulletproof vests, the doctrine of frustration of purpose might relieve it of its obligation to continue purchasing vests from the plaintiff.) A is incorrect because the underlying r"
"107","20917","32020402","Relevance > Character Evidence > Prohibited uses of character evidence","Evidence","Relevancy and Excluding Relevant Evidence","manual","manual_override","manual review: prohibited character/propensity evidence and relevance","The defendant was charged with assaulting the victim. At the trial, the victim testified that he accidentally bumped into the defendant while walking on a crowded street, and that the defendant responded by repeatedly hitting and punching h","A basic principle of the law of evidence is that only evidence that is relevant to a material issue may be received in evidence. Evidence is logically relevant to a material issue if it has any tendency to prove or disprove a fact of consequence. Since the defendant is charged with assaulting the victim, not the witness, his beating of the witness could not tend to prove or disprove a fact of consequence in the prosecution. (It might seem logical to argue that the witness's t"
"108","20085","56050102","Performance, Breach, and Excuse > Conditions > Conditions","Contracts","Performance, Breach, and Discharge","manual","manual_override","manual review: condition precedent to broker commission","On March 1, the seller entered into a written agreement with a licensed real estate broker. By its terms, the seller agreed to pay the broker a commission equal to 6 percent of the price if, prior to April 15, the broker procured a buyer re","A contract may make the happening of a particular event a condition precedent to the performance of a contractual duty. If so, one party's strict compliance with the condition makes the other party's conditional duty absolute. The terms of the commission agreement made the broker's delivery prior to April 15 of a buyer ready, willing, and able to pay $50,000 for the realty a condition precedent to the seller's duty to pay a commission. Since the broker complied with that cond"
"109","17971","84040204","Titles, Deeds, and Conveyancing > Conveyance by Deed > Types of deeds","Real Property","Titles","high","row_text_rule","types of deeds","When the landowner's mother died, she left him a 640-acre parcel of realty known as the Smith and Baker tract. Soon afterwards, the landowner executed a general warranty deed to his sister, conveying realty described as “the north 40 of the","A conveyance by deed usually implies a warranty of title which, if breached, may give the grantee a right of action against the grantor. A quitclaim deed does not. But although one who receives a quitclaim deed has no right of action for breach of warranty against the grantor, the quitclaim deed may effectively convey whatever interest the grantor did possess. Thus, if the landowner's deed to the sister did not effectively convey part of the Smith and Baker tract, his conveya"
"110","21737","64010203","Intentional Torts > Intentional Torts to Property > Conversion","Torts","Intentional Torts","manual","manual_override","manual review: killing dog as conversion; mistake not privilege","While out hunting for wolves, the defendants saw a large furry animal that they believed was a wolf running through the trees. The defendants opened fire, killing the creature. When they got closer, they realized they had just shot a dog th","A defendant's conduct is not privileged solely by virtue of the fact that he or she made a mistake. Consequently, while the defendants may have made a good faith mistake in mistaking the farmer's dog for a wolf, they will still be liable for the farmer's damages. A, B, and C are therefore incorrect."
"111","20934","82010504","Nature and Ownership of Land > Problems with Interests in Land > Restraints on alienation","Real Property","Ownership","manual","manual_override","manual review: direct restraints on alienation","The farmer was the owner of a small farm that had been in his family for many generations and which had become a well-known community landmark. The farmer had a son and a daughter. Because the farmer was advanced in age, he was concerned ab","A direct restraint on alienation is a covenant or condition that attempts to control the alienability of the estate granted. A disabling restraint purports to withhold the grantee's power to alienate. A promissory restraint consists of a covenant not to alienate. It does not withhold the covenantor's power to alienate but subjects the covenantor to liability for damages for breaching the covenant by alienating. A forfeitural restraint terminates the estate upon an attempt to "
"112","21837","93110300","Appeal and Review > Scope of Review","Civil Procedure","Appealability and Review","manual","manual_override","manual review: appellate scope/standard of review","A concert promoter sued a rock singer for breach of contract in federal district court after the rock singer failed to perform at a charity concert in State A. The federal district court ruled in favor of the rock singer, finding his signat","A is incorrect because a question of law is an issue that must be decided by applying legal principles (for example, whether a police officer had probable cause to arrest a suspect). C and D are incorrect because abuse of discretion is the standard applied to the discretionary decisions of a trial court, such as leaves to amend."
"113","19703","84040406","Titles, Deeds, and Conveyancing > Recording Acts > Priorities","Real Property","Titles","manual","manual_override","manual review: recording act priorities and chain of title","On February 1, the landowner conveyed a parcel of realty to his cousin as a gift. The landowner executed the deed in the presence of a notary public, and the notary affixed his seal as required by law. On March 1, after the landowner learne","A is incorrect because although the statute makes the payment of value a condition for the superiority of a subsequent grantee's interest, it does not impose such a requirement on the prior grantee. Since the “race” aspect of the statute makes priority depend on who recorded first, the fact that the barber recorded before selling to the notary would not defeat the landowner's cousin's interest since the barber recorded after the cousin did. B is therefore incorrect. Recording"
"114","19784","55020101","Formation > Mutual Assent > Offer","Contracts","Formation of Contracts","high","row_text_rule","offer","On March 1, the buyer, a well-known collector of antique automobiles, mailed to a newspaper an advertisement that read, in part: “I will pay $100 for information leading to purchase of an antique car.” On March 2, before the advertisement a","A is incorrect because an offer to the general public that is made by advertisement ordinarily is not revoked until a withdrawal is given approximately equal publicity. C and D are incorrect because the buyer only offered to pay for information leading to purchase, and the man's did not."
"115","20692","94040200","Notice and Service of Process > Service of Process","Civil Procedure","Jurisdiction and Venue","high","row_text_rule","service of process","A man was injured when he was hit by a taxi. He sued the taxi driver in federal district court in State A. Under the applicable statute of limitations, the action had to be commenced by June 16 and an action was deemed commenced when it was","A is incorrect because it states the wrong deadline for service. C is incorrect because it is not enough that the claim arose from the same occurrence. Importantly, the new party must have had some notice or knew of the likelihood of being sued."
"116","18855","44040303","Individual Rights > Equal Protection Clause > Strict scrutiny (suspect) classifications","Constitutional Law","Individual Rights","manual","manual_override","manual review: alienage as suspect classification strict scrutiny","The Department of Sanitation was established for the purpose of providing free sanitation services to the people of the state. Since its inception, the Department's activities have included garbage collection and street cleaning. The plaint","A is incorrect because not all “traditional” government activities fall into this category. Since alienage is a suspect classification, B is incorrect because a rational basis is not sufficient to justify a classification based on alienage. Statutes that interfere with fundamental interests — like those based on “suspect classifications” — are also subject to the compelling state interest standard. D is incorrect, however, because a classification based on alienage is “suspec"
"117","17428","84040403","Titles, Deeds, and Conveyancing > Recording Acts > Bona fide purchaser","Real Property","Titles","manual","manual_override","manual review: recording statute protection requires purchaser for value","A woman was the owner of a parcel of realty on which she lived with her husband. The woman was admitted to a hospital following a severe heart attack. While her husband was visiting her in the hospital, the woman said, “I know I'm dying, an","A is incorrect because recording statutes protect only those who purchase for value. Since the nurse received by will and without consideration, the husband's failure to record would not give the nurse a priority. Although a quitclaim deed does not imply any warranties or covenants, it does serve to transfer whatever interest the grantor held at the time of its execution. B and C are therefore incorrect."
"118","17847","56050102","Performance, Breach, and Excuse > Conditions > Conditions","Contracts","Performance, Breach, and Discharge","manual","manual_override","manual review: express condition and substantial performance","On January 10, the plaintiff, a builder, entered into a written contract with the defendant to construct a building on the defendant's realty. The contract required the plaintiff to build to specifications furnished by the architect and req","A is incorrect because the architect was not a party to the contract between the defendant and the plaintiff, and that contract therefore could not have imposed duties on the architect. It is sometimes said that express conditions of a contract must be fully satisfied, but that “substantial performance” satisfies constructive conditions. Since the condition requiring the plaintiff to obtain a Certificate of Satisfactory Completion by July 30 was express, substantial performan"
"119","18138","94030100","Removal and Remand > Removal to Federal Court","Civil Procedure","Jurisdiction and Venue","manual","manual_override","manual review: removal based on diversity/corporate citizenship","A man sued a moving company for $100,000 in state court in State A after the man was injured by one of the moving company's trucks. His claim was based on State A motor vehicle law. The man was a citizen of State A. The moving company was i","A is incorrect because the claim can still be removed even if it is based on State A motor vehicle law. B is incorrect because although the moving company did 70 percent of its business in State A, it is not a citizen of State A. D is incorrect because the company's belief regarding fairness would not create federal subject matter jurisdiction."
"120","18373","44040304","Individual Rights > Equal Protection Clause > Intermediate scrutiny (quasi-suspect) classifications","Constitutional Law","Individual Rights","manual","manual_override","manual review: gender classification/intermediate scrutiny","The plaintiff challenges the constitutionality of a state law that provides that no contraceptive device that requires insertion into a cavity of the human body may be sold without a prescription. If the only argument used by the plaintiff ","A is incorrect because the fact that a system of classification does or does not discriminate against a suspect class determines the standard to be applied, but it does not itself determine whether the statute is constitutional. B is incorrect because a rational basis is not sufficient to make constitutional a statute that discriminates on the basis of gender. C is incorrect because police powers, like all other powers of the state, may not be exercised in a way that is incon"
"121","21088","91090300","Trial > Jury Selection","Civil Procedure","Jury Trials","high","row_text_rule","jury selection","A woman was called as a juror in a claim brought in federal district court. The action involved a man's claim that he was unlawfully targeted and beaten by several local police officers because of his race. During voir dire, the woman state","A is incorrect because the question specifically asks about her statements. There is no indication any of the attorneys want the juror dismissed based on her race. B is incorrect because although she said she had no strong feelings or private knowledge, she did indicate she had an actual bias regarding the issue presented by the case. D is incorrect because an implied bias refers to the situation where a juror states he or she is not biased, but an average person in that juro"
"122","21496","43020201","Judicial Review > Jurisdiction of Courts > Constitutional limitations and justiciability","Constitutional Law","Judicial Review","manual","manual_override","manual review: standing/justiciability to challenge Commerce Clause tax","Because of severe economic recession, the state has enacted a statute imposing a tax on corporations that have gross sales within the state in excess of $1 million during a calendar year. The statute applies to all such corporations, whethe","A is incorrect because there is no fact indicating that the people of the neighboring state face any injury under the statute, and additionally because a state government does not have standing as a representative of its residents. Since the corporation in C does not have annual gross sales in excess of $1 million within the state, the statute imposes no tax on it. Thus, the corporation's stockholders lack standing because they face no actual or immediately threatened injury "
"123","17676","31010402","Presentation of Evidence > Witnesses > Form and scope of examination","Evidence","Presentation of Evidence","high","row_text_rule","form and scope of examination","At the trial of an action brought by the plaintiff against the defendant for damages resulting from breach of contract, the plaintiff's attorney called the witness as a witness on the plaintiff's direct case. After the witness was sworn, th","A is incorrect for two reasons: First, the witness was called by the plaintiff, and therefore she is not the defendant's witness, and second, under FRE 607, a party may impeach its own witness. A leading question is one that contains a suggestion that would cause the ordinary person to believe that the questioner desires one answer instead of another. B is incorrect because the question asked by the defendant's attorney contains no such suggestion and because leading question"
"124","17113","51060304","Remedies > Equitable Remedies > Specific performance","Contracts","Remedies","manual","manual_override","manual review: specific performance unavailable for personal services","A sculptor and a famous architect entered into a contract to design a new studio for the sculptor. The sculptor told the architect that she was hiring her because she believed in her unique vision. The written contract also provided that “n","A is therefore incorrect. An agreement not to assign usually destroys the right but not the power to make an effective assignment. This means that an assignment made in the face of such an agreement is usually valid, although the assignor might be liable for damages resulting from the assignment and from his or her own failure to perform. For this reason, damages are usually the only remedy available for breach of a promise not to assign. B is therefore incorrect. C is a miss"
"125","21029","55020203","Formation > Consideration > Requirement and output contracts","Contracts","Formation of Contracts","high","row_text_rule","requirements/output contract","In December 2009, the seller, a manufacturer of packaging materials, entered into a written agreement with the buyer, a wholesaler of melons. The agreement provided that the buyer would purchase from the seller all the boxes required by the","A is therefore incorrect. B is incorrect for two reasons: First, UCC §2-306 specifically recognizes the validity of “requirements” contracts and specifies the manner in which their terms should be construed, and second, damages for failing to order the specified minimum requirement could be fixed with certainty. A party who seeks damages for breach of contract is required to prove those damages; they are not presumed. C is incorrect for this reason, and because — strictly spe"
"126","21102","44040501","Individual Rights > First Amendment Protections > Freedom of religion","Constitutional Law","Individual Rights","high","row_text_rule","religion clauses","The defendant had been convicted of fraud on three separate occasions and served three different prison sentences as a result. Soon after his most recent release, the defendant proclaimed himself to be a minister and began conducting prayer","A is therefore incorrect. Ordinarily, a state may prohibit specified activities whenever such prohibition serves a rational basis. Under the Free Exercise Clause of the First Amendment, however, a state may not interfere with acts performed in the exercise of religious beliefs unless the interference bears a rational relationship to a compelling state interest. This means that there are some acts that the state may validly declare to be criminal and prohibit because the prohi"
"127","20728","56050604","Performance, Breach, and Excuse > Excuse of Condition/Discharge of Duty > Waiver","Contracts","Performance, Breach, and Discharge","high","row_text_rule","waiver","The landlord leased an apartment to a new tenant. The lease provided that the tenant could not assign or sublease without the landlord's consent. Soon thereafter, the tenant assigned the lease to his friend. The landlord accepted the friend","A landlord's failure to take prompt action when he or she learns of an attempted assignment or sublease constitutes a waiver of the right to block it. Here, the landlord will probably not be permitted to terminate the lease since he likely waived his right to do so by accepting rent and failing to take prompt action when he discovered the assignment. Consequently, A is incorrect. B is incorrect because, by accepting rent and waiting to protest, the landlord did not appear to "
"128","21405","62050200","Other Torts > Misrepresentation","Torts","Other Torts","manual","manual_override","manual review: misrepresentation reliance/intent","The company was a major corporation with shares of stock traded on several stock exchanges. When rumors began to circulate that the company was experiencing financial difficulties, the price of the company stock fell drastically. The report","A misrepresentation is a false assertion of material fact intended to induce the plaintiff's reliance. A defendant intends to induce the plaintiff's reliance if he or she knows with substantial certainty that a class of persons to which the plaintiff belongs will rely on his or her statement. If the reporter did not know that any person would rely on her statement, she could not have intended to induce any person's reliance. Her statement would therefore not be a misrepresent"
"129","20448","92080202","Motions > Trial and Post-Trial Motions > Renewed Motion for Judgment as a Matter of Law","Civil Procedure","Motions","manual","manual_override","manual review: renewed JMOL requires earlier JMOL motion","A company brought a claim for violations of federal securities laws against a bank in federal district court. The case was tried before a jury. The company's case consisted of one witness: the company president, who presented a few emails t","A motion for judgment as a matter of law is made before the case is submitted to a jury and asks the court for judgment in the moving party's favor based on the argument that no reasonable person could come to a different conclusion. A renewed motion for judgment as a matter of law comes after entry of judgment and can only be made if the moving party made a motion for judgment as a matter of law during the trial. Because the bank did not make a motion for judgment as a matte"
"130","17599","61020402","Negligence > Causation > Proximate (legal) cause","Torts","Negligence","high","row_text_rule","proximate causation","A man was snowmobiling with his friend as a passenger. The man negligently cut across a road and an oncoming car struck the snowmobile. The friend was severely injured. The driver of the car called an ambulance, and the ambulance picked up ","A negligent defendant is liable for additional damage caused by foreseeable rescue efforts. This is true even if these rescue efforts are negligent in themselves. When faced with a severally injured person, it is foreseeable that an ambulance driver would drive faster than the speed limit and negligently crash into a pole. Consequently, the man is also liable for his friend's death in the ambulance accident. A is incorrect because a foreseeable rescue does not break the chain"
"131","19635","43020201","Judicial Review > Jurisdiction of Courts > Constitutional limitations and justiciability","Constitutional Law","Judicial Review","manual","manual_override","manual review: justiciability/abstention in constitutional challenge","A seven-year-old girl was admitted to a hospital unconscious. Doctors who examined her asked the girl's parents to consent to a blood transfusion for the girl, stating that the girl would probably die otherwise. The girl's parents refused, ","A non-justiciable political controversy is a case in which a federal court is asked to interfere with the operation of a co-equal branch of the federal government. A is incorrect because the challenge raised by the girl's parents is to a state law, not to an action of the federal government. The Eleventh Amendment prohibits federal courts from hearing certain claims against state governments. C is incorrect, however, because the Eleventh Amendment does not prevent the federal"
"132","19216","56050403","Performance, Breach, and Excuse > Breach > Anticipatory repudiation","Contracts","Performance, Breach, and Discharge","manual","manual_override","manual review: anticipatory repudiation","The defendant showed his silver coins to the plaintiff and asked whether the plaintiff would be interested in trading them for chickens. After inspecting the coins, the defendant and the plaintiff placed them in a bag that they sealed toget","A party's unequivocal statement that he or she will not perform is an anticipatory repudiation and entitles the other party to all rights resulting from a breach. The plaintiff's statement that she would not accept the coins in payment for the chickens was such a statement. Its result was to free the defendant from any further obligation under the contract and to give the defendant a right to an immediate action against the plaintiff for breach of contract. A prospective inab"
"133","20522","71040300","Inchoate Offenses > Attempt","Criminal Law and Procedure","Inchoate Crimes","high","row_text_rule","attempt","The defendant was a college student preparing to take an important exam. Before the exam, she sneaked into the professor's office, hoping to steal a copy of the exam answer. The exam answer was locked securely in the dean's safe, however, a","A person is guilty of an attempt when, with the intent to bring about a result that is criminally prohibited, he or she commits some act that brings him or her substantially close to accomplishing that result. If the result that the defendant intended is criminally prohibited, and if the defendant came substantially close to accomplishing it, she is guilty of attempting it. If an exam answer is “information” as defined by the statute, its theft would be a crime whether the de"
"134","18923","61020203","Negligence > Standard of Due Care > Negligent infliction of emotional distress","Torts","Negligence","manual","manual_override","manual review: negligent infliction of emotional distress/bystander recovery","The plaintiff, a dentist, owned an apparatus for putting patients to sleep while she operated on their teeth. The apparatus consisted of two canisters, one filled with oxygen and the other filled with anesthetic gas. By manipulating valves ","A plaintiff who experiences mental suffering as a result of witnessing the infliction of a physical injury on another may recover from a person who negligently inflicted that physical injury. Although the majority of jurisdictions permit such recovery only when the plaintiff is in the same zone of physical danger as the person who sustained physical injury, an important minority permit the plaintiff to recover if his or her mental suffering was a foreseeable result of the phy"
"135","21694","41030403","The Federal-State Relationship > Tenth Amendment and the Scope of State Authority > State taxation","Constitutional Law","Relations Between Federal and State Governments","manual","manual_override","manual review: state taxation and intergovernmental/Dormant Commerce limits","A river is located entirely within the state. Acting under authority granted by Congress, the Federal Transportation Commission awarded a contract to the company for the construction of a bridge over the river so road users could enter a ne","A state attempt to regulate interstate commerce may violate the Commerce Clause of the United States Constitution. A is incorrect, however, because a sales tax imposed on the purchase of materials used to build a bridge does not regulate interstate commerce, even though interstate vehicles may eventually use the bridge. While the state lacks power to tax the federal government, B is incorrect because so long as it does not discriminate against them, the state is free to tax p"
"136","17788","44040303","Individual Rights > Equal Protection Clause > Strict scrutiny (suspect) classifications","Constitutional Law","Individual Rights","high","row_text_rule","strict scrutiny equal protection","A plaintiff belongs to an ethnic minority that constitutes 10 percent of the general population of the city. Approximately 10 percent of the motorists driving on a particular road are members of the plaintiff's ethnic minority. One day, whi","A statute that establishes a system of classification that discriminates against members of a particular ethnic group may violate the Equal Protection Clause of the Fourteenth Amendment to the United States Constitution. Even if a statute does not establish such a system of classification, however, it may be enforced in a way that makes it unconstitutional as applied. In determining whether the application of a statute violates the Equal Protection Clause, the United States S"
"137","21575","44040501","Individual Rights > First Amendment Protections > Freedom of religion","Constitutional Law","Individual Rights","high","row_text_rule","religion clauses","A state law provides that no person may hold elective state office while acting as a practicing member of the clergy of any religious organization. The plaintiff, a practicing member of the clergy, asked the state commissioner of elections ","Although a state may not set qualifications for state office that violate rights protected by the United States Constitution, there is no constitutional requirement that qualifications for state office be consistent with qualifications for federal office. A is therefore incorrect. B is incorrect because the statute in question does not attempt to set qualifications for practicing members of the clergy. C is incorrect for two reasons: First, although the creation of political "
"138","21541","62060101","Other Considerations > Vicarious Liability for Acts of Others > Independent contractor and nondelegable duties","Torts","Other Torts","high","row_text_rule","independent contractor","The defendant was the owner and operator of a hotel. Because electrical wiring in the hotel was beginning to deteriorate, the defendant hired a licensed electrician to repair it. The electrician was hired as an independent contractor. If th","Although one who employs an independent contractor is not vicariously liable for torts committed by the contractor, the employer may be liable for his or her own negligence in failing to use adequate care in selecting the contractor. A is therefore incorrect. If reasonable inspection by the defendant would have failed to disclose the electrician's error, then the defendant's failure to discover the electrician's error would not be negligence. This alone would not be enough to"
"139","18824","62050401","Other Torts > Defamation, Privacy, and Reputation Torts > Defamation","Torts","Other Torts","manual","manual_override","manual review: defamation/libel public figure damage rules","A newspaper published an article stating that the plaintiff had once been convicted of armed robbery. In fact, the plaintiff had never been convicted of any crime. If the plaintiff asserts a defamation claim against the newspaper, which one","Although some states recognize a privilege to publish false statements that are contained in public records, there is no privilege to misstate the contents of a public record. A is therefore incorrect. A defendant who defamed a public figure may be liable if he or she had “actual malice” as defined above. Thus, the fact that the plaintiff was a public figure would not be sufficient in itself to protect the newspaper against liability for defaming him. C is therefore incorrect"
"140","18199","41030402","The Federal-State Relationship > Tenth Amendment and the Scope of State Authority > Dormant Commerce Clause","Constitutional Law","Relations Between Federal and State Governments","manual","manual_override","manual review: Dormant Commerce Clause discrimination/burden","After a nuclear power plant was built in the state, the state passed the Nuclear Waste Act. The Act regulates the storage of radioactive wastes and authorizes the construction of radioactive waste storage facilities at specified locations w","Although the Commerce Clause gives Congress the power to regulate interstate commerce, some regulation by the states is permitted so long as the effect is not to discriminate against or impose an undue burden on interstate commerce. Even state regulations that do discriminate against interstate commerce or impose a burden on it may be constitutional if they are aimed at a legitimate health or safety objective that cannot be achieved by less drastic means. It is possible that "
"141","20896","55020204","Formation > Consideration > Preexisting duty","Contracts","Formation of Contracts","manual","manual_override","manual review: preexisting duty in promise to pay extra for same service","On March 1, a farmer entered into a written contract with the worker. By its terms, the worker agreed to plow the farmer's fields by April 1, using the worker's own tractor. In return, the farmer promised to pay $2,000 upon completion of th","Although the Statute of Frauds makes an oral contract for the purchase of goods with a price of $500 or more unenforceable over objection, A is incorrect because the agreement between the farmer and the worker was not for the sale of goods. Duress is some compulsion or restraint that deprives a contracting party of the ability to exercise free will and usually involves some physical force or threat. A few cases have recognized the possibility of economic duress, but this defe"
"142","17650","94010100","Federal Subject-Matter Jurisdiction > Diversity Jurisdiction","Civil Procedure","Jurisdiction and Venue","high","row_text_rule","diversity jurisdiction","A businessman, a citizen of State A, sued a real estate company in federal district court in State A for breach of contract. The real estate company was incorporated in State B and was run by a group of executives based in State A. However,","An action must be dismissed if the federal court does not have subject matter jurisdiction over the action. For a federal court to have subject matter jurisdiction over an action, the plaintiff and defendant must be citizens of different states or the action must arise under federal law. Here, the businessman is a citizen of State A. A corporation is a citizen of where it is incorporated and where its principal place of business is located. A corporation's principal place of "
"143","21854","33040101","Hearsay > In General > Hearsay rule","Evidence","Hearsay and Circumstances of Its Admissibility","high","row_text_rule","hearsay rule","After the plaintiff instituted litigation against the defendant, the defendant's attorney demanded that the plaintiff furnish the answers to a list of interrogatories as provided by the state code of civil procedure. Interrogatory #4 was “L","An admission is a declaration by a party offered against that party. Under the common law, admissions are admissible as exceptions to the hearsay rule; under FRE 801(d)(2), admissions are not hearsay. Matters to which a party has stipulated on the record are known as “judicial admissions” and are conclusive in the proceeding in which they were made. Since the plaintiff specified that the information contained in the industry publication was to be used as its response to the d"
"144","21453","44040602","Individual Rights > Other Protections > Ex post facto laws","Constitutional Law","Individual Rights","high","row_text_rule","ex post facto","Congress passes a law providing that no one who has been a member of an organization that uses unlawful means to deprive any group of persons of their rights under the United States Constitution is eligible for employment by the federal gov","An ex post facto law is one that imposes a criminal penalty on the basis of something that occurred before the law was passed. Since the law in question does not impose a criminal penalty, it is not an ex post facto law. A is therefore incorrect. Whether government employment is a privilege or a right, ineligibility for it is a disability. Since the disability cannot be constitutionally imposed for mere membership in an organization, C is incorrect. D may be incorrect for sev"
"145","19768","55020202","Formation > Consideration > Illusory promises","Contracts","Formation of Contracts","high","row_text_rule","illusory promise","A brick supplier wrote to a builder, stating “We will sell you bricks at $1 per brick for as many bricks as you would like to purchase, up to 100,000 per quarter.” The brick supplier signed the letter. The builder did not refrain from enter","An illusory promise is a statement that appears to make a promise but does not commit the promisor to do anything. Illusory promises are insufficient consideration to support a contract. Here, the builder has not bound himself to do anything since he's only agreed to buy bricks for $1 if he decides to buy bricks. Because the builder's promise did not actually bind him in any way, it did not provide consideration for the brick supplier's promise. Consequently, the brick suppli"
"146","20342","55020202","Formation > Consideration > Illusory promises","Contracts","Formation of Contracts","high","row_text_rule","illusory promise","The defendant's husband owed money to the plaintiff. This was evidenced by a promissory note. When the note became due, the defendant signed the back of it and promised to pay the note if her husband did not. In return, the plaintiff promis","An illusory promise is a statement which appears to promise something, but in fact does not commit the promisor to anything. Importantly, such a promise will not give sufficient consideration to support a contract. Here, there was no consideration for the endorsement because the plaintiff could have sued immediately if he decided he wanted his money. Thus, he really didn't promise to do anything at all. The fact that the plaintiff in fact did not collect on the note for two y"
"147","20681","61020302","Negligence > Breach > Negligence per se","Torts","Negligence","high","row_text_rule","negligence per se","The Department of Highway Transportation is the agency of state government responsible for maintaining state highways. While driving on a state highway, the defendant attempted to pass the plaintiff's vehicle on the right. As she did so, on","An intervening cause is an event without which the accident would not have occurred and which took place after the defendant's negligence. The defendant's encounter with the pothole was, thus, an intervening cause of the collision. A superseding cause is an unforeseeable intervening cause. In this context, the word unforeseeable may be used to mean either something that the reasonable person would not have anticipated, or something which, in retrospect, appears to have been e"
