excel_row,qid,outline_code,confidence,note,question_excerpt,explanation_excerpt
166,18534,53070200,high,Assignment of Rights,A man developed a new phone application that allowed users to follow the records of their favorite college teams. A company liked the application and offered the man a job as an in,"Before the obligor learns of an assignment by the obligee, if an obligor and obligee agree in a commercially reasonable manner to a valid modification of the contract, the modification is effective as to rights that the assignee has acquired against the obligor. Thus, the plaintiff is bound by the modification. An obli"
167,20490,52040100,high,Gap-Fillers,"The plaintiff had long admired the defendant's dog, which was trained to get the paper and start the coffeepot every morning. The plaintiff finally convinced the defendant to agree","By its terms, the UCC applies to all transactions in “goods,” which are defined as any things that are movable at the time of the sale. The UCC provides approaches for filling in certain missing terms, but the absence or presence of any particular terms in a contract does not determine whether the UCC applies. B is the"
168,20192,55020204,high,Preexisting duty,"On June 1, after arson fires had damaged several city buildings, the city council voted to offer a reward to aid in apprehension of the arsonists. On June 2, by order of the city c","Consideration is a benefit to the promisor or a detriment to the promisee that was bargained for and given in return for the promisor's promise. For this reason, if the police officer did something that he was already obligated to do, his act could not be consideration for the city's promise to pay since no new benefit"
169,18814,55020201,medium,Bargain and exchange,"A rescuer saved the life of a man's wife, who subsequently promised to change her will to leave $500 to the rescuer. The wife later died intestate, however, survived only by her hu","Consideration requires a bargained-for exchange. Since the husband did not ask the rescuer to save his wife, the rescuer's doing so was neither bargained for nor given in exchange for the husband's promise. The fact that a promisor calls something “consideration” for his or her promise does not make it so. A is incorre"
170,21462,55020101,reviewed,firm offer/option without consideration,"A manufacturer of tractors had purchased hundreds of motors from an engine maker in the past at a price of $5,000 each. In 2011, the engine maker ceased production of the motor. By","Consideration usually consists of some legal detriment suffered by the promisee that is given in exchange for the promisor's promise. Since the manufacturer gave nothing in return for the engine maker's promise to keep the offer open, her promise was not supported by consideration. Under UCC §2-205, an assurance given "
171,21589,53070100,high,Third-Party Beneficiary Contracts,"After serving in the military for 10 years, the plaintiff informed her father that she had gotten married and was retiring from military service. Glad to hear the news, the plainti","Contracts frequently benefit persons other than the contracting parties (i.e., third-party beneficiaries). In general, contracts can be enforced only by parties to them. Under some circumstances, however, intended third-party beneficiaries can enforce contracts to which they are not parties. Whether a third-party benef"
172,17445,53070100,high,Third-Party Beneficiary Contracts,"During negotiations with a printing company, a publisher agreed to hire the printing company president's wife as a cover artist for a year in exchange for a lower rate on printing ","Contracts frequently benefit persons other than the contracting parties. Such persons are called third-party beneficiaries. If the contracting parties meant for those persons to benefit from the contract, they are intended beneficiaries; otherwise, they are incidental beneficiaries. If a promisor's performance is inten"
173,14384,52040300,high,Parol Evidence Rule,"Responding to the county's written advertisement for bids, a tire salesman was the successful bidder for the sale of tires to the county for the county's vehicles. The tire salesma","A is correct. The parol evidence bars the introduction of evidence of a prior agreement that contradicts the terms of a final written contract. Notwithstanding the parol evidence rule, however, such evidence may be introduced to explain an ambiguity in the written contract. The written contract between the tire salesma"
174,14379,52040300,high,Parol Evidence Rule,"A written construction contract began with the following recital: ""This Agreement, between Land, Inc. (hereafter called 'Owner'), and Builder, Inc., and Boss, its President (hereaf","A is correct. The parol evidence rule bars extrinsic evidence of statements made prior to the execution of a final written agreement where the statements contradict the terms of the final written agreement or where the statements purport to add to the agreement where the agreement is completely integrated (i.e., one th"
175,14377,52040300,high,Parol Evidence Rule,"On March 1, a homeowner contacted a builder about constructing an addition to the homeowner's house. The builder orally offered to perform the work for $200,000 if his pending bid ","B is correct. The homeowner cannot recover for the builder's nonperformance based on the oral condition to the contract. Normally, the parol evidence rule bars evidence from prior or contemporaneous negotiations and agreements that contradict, modify or vary contractual terms if the contract is intended to be a complet"
176,14376,52040300,high,Parol Evidence Rule,A property owner and a landscape architect signed a detailed writing in which the landscape architect agreed to landscape the owner's residential property in accordance with a desi,"B is correct. The parol evidence rule bars extrinsic evidence of a prior agreement either where the prior agreement contradicts the terms of a final written agreement or where the prior agreement purports to add to a completely integrated agreement (i.e., one that is intended by the parties to be both the final and exc"
177,14373,52040300,high,Parol Evidence Rule,"A buyer contracted in writing with a shareholder, who owned all of XYZ Corporation's outstanding stock, to purchase all of her stock at a specified price per share. At the time thi","B is correct. The parol evidence rule bars extrinsic evidence of a prior agreement where the prior agreement contradicts the terms of a final written agreement or where the prior agreement purports to add to a completely integrated agreement (i.e., one that is intended by the parties to be both the final and exclusive "
178,14372,52040300,high,Parol Evidence Rule,"A rancher and a fancier of horses signed the following writing: ""For $5,000, the rancher will sell to the fancier a gray horse that the fancier may choose from among the grays on t","B is correct. The parol evidence rule bars the introduction of evidence of an agreement made prior to the adoption of a final written contract if the prior agreement relates to matters within the scope of the writing. However, if the prior agreement does not contradict the writing but merely supplements it, evidence of"
179,14378,52040300,high,Parol Evidence Rule,"A seller and a buyer have dealt with each other in hundreds of separate grain contracts over the last five years. In performing each contract, the seller delivered the grain to the","B is correct. The Uniform Commercial Code controls. Specifically, UCC § 2-202, which is the UCC embodiment of the parol evidence rule, explicitly provides that, while a final written expression of agreement may not be contradicted by any prior agreement, it may be explained or supplemented ""by course of dealing or usag"
180,14375,56050200,reviewed,no-oral-modification clause and reliance on extras,"A written construction contract, under which a contractor agreed to build a new house for an owner at a fixed price of $200,000, contained the following provision: Prior to constru",D is correct. A provision in a written contract that specifies that any modification to the agreement is unenforceable unless made in writing and signed by both parties is referred to as a no-oral-modification clause. Such clauses are common in construction contracts (such as the owner-contractor agreement) and may be 
181,14374,52040300,high,Parol Evidence Rule,"A radio manufacturer and a retailer, after extensive negotiations, entered into a final written agreement in which the manufacturer agreed to sell and the retailer agreed to buy al","D is correct. The parol evidence rule bars the introduction of extrinsic evidence of certain statements made prior to the adoption of a final written agreement. Evidence of course-of-performance, however, is admissible to interpret a writing so long as the evidence can reasonably be construed in a way that is consisten"
182,14380,52040200,high,Interpretation,"A farmer contracted to sell 100,000 bushels of wheat to a buyer. When the wheat arrived at the destination, the buyer discovered that the farmer had delivered only 96,000 bushels. ","D is correct. This transaction involves a sale of goods and is subject to Uniform Commercial Code (UCC) Article 2. Under Article 2, evidence of trade usage that can be construed as reasonably consistent with an agreement's express language is admissible to interpret or supplement an agreement. The majority rule provide"
183,14383,52040200,high,Interpretation,"A computer company contracted in writing with a bank to sell and deliver to the bank a mainframe computer using a new type of magnetic memory, then under development but not perfec","D is correct. Under the Uniform Commercial Code (UCC), any trade usage that is observed with sufficient regularity in a place, vocation, or trade so as to justify an expectation that the parties contracted with reference to it can be introduced to interpret the parties' agreement, so long as the usage can be reasonably"
184,14382,52040200,high,Interpretation,"A beverage distribution company agreed in writing with Fizzy Cola Company to serve for three years as a distributor in a six-county area of Fizzy Cola, which contains a small amoun","D is correct. Under the Uniform Commercial Code (UCC), any trade usage that is observed with sufficient regularity so as to justify an expectation that the parties contracted with reference to it can be introduced to interpret the parties' agreement, so long as the usage can be reasonably construed as being consistent "
185,14385,52040300,high,Parol Evidence Rule,"A buyer purchased a new car from a dealer under a written contract that provided that the price of the car was $20,000 and that the buyer would receive a ""trade-in allowance of $7,","D is correct. Under the Uniform Commercial Code's (UCC) parol evidence rule, a merger clause does not conclusively establish that an agreement is completely integrated. Moreover, a finding that an agreement is completely integrated does not necessarily bar the admission of extrinsic evidence. Although extrinsic evidenc"
186,14381,52040300,high,Parol Evidence Rule,"A buyer and a seller entered into a written contract for the sale of a copy machine, using the same form contract that they had used a number of times in the past. The contract sta","D is correct. Under Uniform Commercial Code (UCC) § 1-303(b), course of dealing is defined as ""a sequence of conduct concerning previous transactions between the parties to a particular transaction . . . ."" In this case, on several past occasions, the buyer had taken a 5% discount without objection from the seller, thu"
187,14393,54030800,high,Misrepresentation / Fraud,"Before putting her home up for sale, a homeowner painted the living room ceiling to conceal major water damage caused by a leaking roof that had not yet been repaired. On the first","B is correct. A misrepresentation of fact that induces assent provides a basis for avoidance of a contract. A misrepresentation is defined as a statement that is not in accord with the facts. Affirmative conduct that is ""intended or known likely to prevent another from learning a fact is equivalent to an assertion that"
188,14390,54030800,high,Misrepresentation / Fraud,"A son, who knew nothing about horses, inherited a thoroughbred colt whose disagreeable behavior made him a pest around the barn. The son sold the colt for $1,500 to an experienced ","B is correct. A person's nondisclosure of fact may be tantamount to a misrepresentation of fact sufficient to allow rescission of a contract where the person knows that disclosure of the fact would correct the other party's mistake with respect to a basic assumption of the contract, and where nondisclosure amounts to a"
189,14401,54030400,high,Statute of Frauds,"In financial straits and needing $4,000 immediately, a nephew asked his uncle for a $4,000 loan. The uncle said that he would lend the money to the nephew only if the nephew's moth","B is correct. The mother's letter to her son satisfies the Statute of Frauds (SOF) requirement for suretyship contracts to be in writing. The letter identifies both parties, describes the subject matter and the terms, and is signed by the mother. The fact that it was not made contemporaneously with the promise to pay t"
190,14397,54030400,high,Statute of Frauds,"In a telephone conversation, a jewelry maker offered to buy 100 ounces of gold from a precious metals company if delivery could be made within 10 days. The jewelry maker did not sp","B is correct. The parties failed to comply with the writing requirement of Uniform Commercial Code (UCC) § 2-201(1). The absence of a writing signed by the jewelry maker renders the parties' oral agreement unenforceable. A A is incorrect. Under UCC § 2-305, a contract may be enforceable in the absence of a price term s"
191,14395,54030400,high,Statute of Frauds,"A ski-shop operator, in a telephone conversation with a glove manufacturer, ordered 12 pairs of vortex-lined ski gloves at the glove manufacturer's list price of $600 per dozen ""fo","B is correct. Under the Uniform Commercial Code (UCC), a contract for the sale of goods for $500 or more must be evidenced by a writing that is signed by the person against whom enforcement is sought. As an exception to the rule, a signed writing will not be required between merchants where a written confirmation of a "
192,14402,54030400,high,Statute of Frauds,"A dry goods retailer telephoned a towel manufacturer and offered to buy for $5 each a minimum of 500 and a maximum of 1,000 large bath towels, to be delivered in 30 days. The manuf","B is correct. Under the Uniform Commercial Code's (UCC) Statute of Frauds, a contract for the sale of goods for $500 or more is not enforceable unless there is a writing sufficient to indicate that a contract has been made, which is signed by the party against whom enforcement is sought. The writing need not contain al"
193,14391,54030600,high,Mistake / Lack of Mutual Assent,"A retailer of guns in a state received on June 1 the following signed letter from a gun-wholesaler in another state: ""We have just obtained 100 of the assault rifles you inquired a","B or C is correct. Although rare, on a few occasions the NCBE has released two correct answers for one question. For this question, when it was scored, either answer B or C was accepted as correct and given credit. However, moving forward, examinees should still approach each question as if only one answer is correct. "
194,14396,54031000,high,Public Policy,An insurance company issued an insurance policy to a homeowner. The policy failed to contain certain coverage terms required by a state insurance statute. When the homeowner suffer,"C is correct. A contract that violates a state statute may be declared unenforceable on grounds of public policy. Where, however, the contract violates a policy that was intended for the benefit of a contracting party seeking relief, the contract may be enforceable in order to avoid frustrating the policy behind the st"
195,14394,54030400,high,Statute of Frauds,"A father and his adult daughter encountered an old family friend on the street. The daughter said to the family friend, ""How about lending me $1,000 to buy a used car? I'll pay you","C is correct. Generally, a promise to guarantee a debt to a third person falls under the Statute of Frauds and therefore must be in writing and signed by the party to be charged in order to be enforceable. However, the promise will not fall under the statute where the principal purpose of making the guarantee was to be"
196,14399,54030600,high,Mistake / Lack of Mutual Assent,"A breeder bought a two-month-old registered boar at auction from a seller for $800. No express warranty was made. 15 months later, tests by experts proved conclusively that the boa","C is correct. Mutual mistake will only discharge duties under a contract when the party seeking to avoid it did not assume the risk of the mistake. The facts state that both parties knew the fertility was unknown due to the boar's young age, which means there was uncertainty, not mistake. The fact that the breeder knew"
197,14388,54030300,high,Unconscionability,"On August 1, a geriatric company operating a ""lifetime care"" home for the elderly admitted an 84-year-old man for a trial period of two months. On September 25, the 84-year-old man","C is correct. Restitution generally is not available to recover a benefit conferred pursuant to a valid and binding contract. When determining whether a contract may be unenforceable on grounds of unconscionability, the fairness of the exchange is determined as of the time that the contract was entered into. Although t"
198,14398,54030300,high,Unconscionability,"A landholder was land-rich by inheritance but money-poor, having suffered severe losses on bad investments, but still owned several thousand acres of unencumbered timberland. He ha","C is correct. The landholder should invoke substantive and procedural unconscionability. At the time he agreed to sell, the landholder was financially desperate, with no cash and only land rights. When presented with a cash offer that was 70% lower than comparable contracts, which he was unaware of, the landholder effe"
199,14403,54030900,high,Undue Influence,"The mother of a son and a daughter was dying. The daughter visited her mother in a hospice facility and said, “You know that I have always been the good child, and my brother has a","D is correct. A contract is voidable if the elements of undue influence - undue susceptibility to pressure and excessive pressure - are established. The undue susceptibility element can be established either by the circumstances (e.g., the mother's illness) or the existence of a confidential relationship (such as a par"
200,14387,54030600,high,Mistake / Lack of Mutual Assent,"A wallpaper hanger sent a general contractor, this telegram: Will do all paperhanging on new Doctors' Building, per owner's specs, for $14,000 if you accept within reasonable time ","D is correct. A contract may be rescinded on grounds of unilateral mistake if the mistake relates to a fundamental assumption of the contract that has a material effect on the exchange, if the party asserting mistake should not bear the risk of the mistake and if either (i) the non-mistaken party has reason to know of "
201,14389,54030800,high,Misrepresentation / Fraud,"A developer contracted in writing to sell to a buyer a house on a one-acre lot for $100,000. The developer told the buyer that the lot abutted a national park and that the water fo","D is correct. A party may avoid a contract to which the party's assent was induced by fraud. The time period within which a party may avoid a contract due to misrepresentation does not begin to run until that party either knows or has reason to know of the misrepresentation. In this case, the buyer's eight-month delay "
202,14392,55020100,reviewed,objective manifestations of assent,"A farmer who wanted to sell her land received a letter from a developer that stated, ""I will pay you $1,100 an acre for your land."" The farmer's letter of reply stated, ""I accept y","D is correct. An enforceable contract requires mutual assent as determined by the parties' objective, rather than subjective, manifestations of assent. Given the parties' knowledge of the price of comparable land, the developer's offer created a reasonable understanding that the developer would purchase the land for $1"
203,14439,56050200,reviewed,common-law modification and unanticipated circumstances,"A woman entered into a contract with a painter, by the terms of which the painter was to paint the woman's office for $1,000 and was required to do all of the work over the followi","A is correct. A unilateral modification of a contract (such as the woman's promise to pay an additional $200 for the same work) lacks consideration because of the preexisting duty rule. However, some unilateral modifications may be enforceable notwithstanding the lack of additional consideration if the modification was"
204,14405,56050402,reviewed,nonconforming accommodation shipment,"On June 1, a seller received a mail order from a buyer requesting prompt shipment of a specified computer model at the seller's current catalog price. On June 2, the seller mailed ","A is correct. As of June 5, having received a letter accepting the buyer's offer to purchase the correct computers along with the incorrect computers, the buyer had the right to accept or reject the shipment. The mailed notice of accommodation is a distraction from those dispositive facts. Whether the buyer accepts or "
205,14453,55020201,medium,Bargain and exchange,"An automobile retailer had an adult daughter who needed a car in her employment but had only $3,000 with which to buy one. The retailer wrote to his daughter, ""Give me your $3,000 ","A is correct. Bargained-for consideration is required for a contract to be enforceable, and a court will find adequate consideration without inquiring into the adequacy of the detriment to one party or another. Here, the fact that the daughter is paying $3,000 to the retailer for a car worth $10,000, although uneven, w"
206,14411,55020204,high,Preexisting duty,"A man owed his friend $1,000, plus interest at 8% until paid, on a long-overdue promissory note, collection of which would become barred by the statute of limitations on June 30. O","A is correct. Because the man was already obligated to pay the friend $1,000 at 8% interest, normally a promise to do the same would not be sufficient consideration to support the friend's promise to refrain from suit. However, the man offered to extend interest payments until December 31 in consideration for the frien"
207,14426,55020101,high,Offer,"A borrower owed a lender $50,000 due on March 1. On January 10, the lender telephoned the borrower and said that he would discharge the debt if the borrower would promise to pay th","A is correct. By not returning an actual promise to pay the $45,000 by January 15, the borrower's vague response to the offer on January 10, although intentional, was not sufficiently promissory to constitute acceptance of an offer and create a binding contract. B B is incorrect. The January 10 conversation did not con"
208,14417,unsure,reviewed,at-will permanent employment has no close Contract code,"A bakery offered a chef a permanent full-time job as a pastry chef at a salary of $3,000 per month. The chef agreed to take the position and to begin work in two weeks. In her empl","A is correct. The characterization of the pastry chef position as ""permanent"" indicates that it was an employment-at- will relationship, which may be terminated by either party, at any time, for any reason. B B is incorrect. The reason for not following through with the bakery position is irrelevant. The correct answer"
209,14434,55020400,high,Implied-in-fact contracts,"For several weeks, a wealthy, unemployed widow and a car dealer negotiated unsuccessfully over the purchase price of a new sports car. The car dealer knew the widow wanted her son ","A is correct. The exchange of correspondence between the car dealer and the widow proposing the same terms shows the condition was met, and their conduct manifested their agreement. B B is incorrect. The mirror image rule does not apply because the parties' proposed terms were the same. C is incorrect. A cross-offer wi"
210,14416,52040200,reviewed,conflicting meanings and contract interpretation,"An innkeeper, who had no previous experience in the motel or commercial laundry business and who knew nothing about the trade usages of either business, bought a motel and signed a","A is correct. The laundry company knew that the innkeeper thought ""daily service"" included Sundays, even though it was contrary to industry standards. And the innkeeper, unaware of the industry standard, did not, therefore, know that the laundry company attached a different meaning to the term. In this scenario, the in"
211,14430,55020101,high,Offer,"On April 1, an owner and a buyer signed a writing in which the owner, in consideration of $100 to be paid to the owner by the buyer, offered the buyer the right to purchase Greenac","A is correct. The owner and the buyer did not enter into an option contract, but the offer was not set to lapse until April 30. The buyer was free to accept as of April 21 unless the offer was otherwise revoked. B B is incorrect. Obtaining a loan is not justified reliance by the buyer under these circumstances. C is in"
212,14433,55020201,medium,Bargain and exchange,"A man sent an email to a friend that stated: ""Because you have been a great friend to me, I am going to give you a rare book that I own."" The friend replied by an email that said: ","A is correct. To constitute consideration, a return promise must be bargained for. A return promise is bargained for when it is sought by the promisor in exchange for his promise and is given by the promisee in exchange for that promise. Because the man's promise to give the rare book to the friend did not seek a retur"
213,14412,55020204,high,Preexisting duty,"A debtor's liquidated and undisputed $1,000 debt to a creditor was due on March 1. When the debt was still unpaid on March 15, the creditor told the debtor that if the debtor promi","A is correct. Under the pre-existing duty rule, the creditor's promise to forbear from suing to collect was not supported by consideration from the debtor because the amount due was liquidated and the debtor promised to do nothing more than he was already obligated to do. B B is incorrect. The creditor's promise to for"
214,14406,55020202,high,Illusory promises,"On July 18, a shovel manufacturer received an order for the purchase of 500 snow shovels from a wholesaler. The wholesaler had mailed the purchase order on July 15. The order requi","A is correct. When the wholesaler reserved the right to cancel the order at any time before September 1, this meant that as of July 22, the wholesaler gave only an illusory promise to purchase the shovels and the contract became unenforceable. B B is incorrect. Because there is no indication in the fact pattern that th"
215,14432,55020300,reviewed,detrimental reliance/promissory estoppel,"A developer obtained a bid of $10,000 to tear down her old building and another bid of $90,000 to replace it with a new structure in which she planned to operate a sporting goods s","B is correct. A promise may be enforceable even if not bargained-for where: (i) the promisor should reasonably have expected the promise to induce reliance; (ii) there is reliance in fact; and (iii) enforcement of the promise is necessary to prevent injustice. Because the lender reviewed the plans for the project, the "
216,14454,55020102,reviewed,manner of acceptance,"A developer, needing a water well on one of his projects, met several times about the matter with a well driller. Subsequently, the well driller sent a developer an unsigned typewr","B is correct. An offer is a manifestation of a willingness to bargain that creates a capacity in the offeree to form a contract by consent. Unless otherwise provided, an offer is construed as inviting acceptance in any reasonable manner and by any medium reasonable under the circumstances. Any objective manifestation o"
217,14424,55020300,reviewed,subcontractor bid made irrevocable by reliance,"A wallpaper hanger sent a general contractor this telegram: Will do all paperhanging on new Doctors' Building, per owner's specs, for $14,000 if you accept within reasonable time a","B is correct. If the general contractor had to submit a bid bond relying on bids from subcontractors, those bids would generally be held irrevocable until the general contractor gets the job and accepts the subcontractors' bids. A A is incorrect. The general contractor's mitigation of her damages after the wallpaper ha"
218,14404,56050200,reviewed,accepted contract modification,"On November 1, an accountant and a lawyer contracted for the sale by the accountant to the lawyer of the law books the accountant had inherited from his father. The lawyer agreed t","B is correct. The accountant proposed a unilateral modification of the contract, which the lawyer validly accepted before it lapsed. A A is incorrect. Agreeing to take the stacks will not constitute new consideration. C is incorrect. The lawyer's November 14 communication served to accept the modification, without disc"
219,14441,52040200,reviewed,express term controls trade usage,"An actor straight out of drama school and an agent entered into a one-year written contract that described the services the agent would provide. Because he was eager for work, the ","B is correct. The parties' new contract adopted the terms of their previous contract, which included the 15% fee. Evidence of express terms is given greater weight than evidence of trade usage. Therefore the express term, the 15% fee, is controlling because a court would give it greater weight than the evidence of trad"
220,14428,55020101,high,Offer,"On December 15, a lawyer received from a retailer of supplies an offer consisting of its catalog and a signed letter stating, ""We will supply you with as many of the items in the e","B is correct. The retailer made a firm offer to the lawyer that could not be revoked for three months, so the price increase is not effective. A A is incorrect. There are no facts in this question that show substantial reliance by the lawyer on the firm offer. C is incorrect. Firm offers do not require consideration to"
221,14425,55020101,high,Offer,"A buyer faxed the following signed message to his long-time widget supplier: ""Urgently need blue widgets. Ship immediately three gross at your current list price of $600."" Upon rec","B is correct. The supplier notified the buyer of the accommodating shipment of red widgets, so this shipment was not an acceptance of the buyer's offer, and therefore not in breach of contract. A A is incorrect. The buyer may not recover damages after rejecting the accomodating shipment. C is incorrect. The accommodati"
222,14445,55020102,reviewed,battle-of-forms material additional term,"A manager, aged 60, who had no plans for early retirement, had worked for an insurance company for 20 years as a managerial employee-at-will when he had a conversation with the com","B is correct. Under the theory of detrimental reliance, a gratuitous promise may be enforceable notwithstanding lack of consideration if the party making the promise has reason to expect the promise will induce reliance on the part of the promisee, where there has been reliance in fact, and where injustice may be avoid"
223,14451,55020201,medium,Bargain and exchange,"A chef purchased the front portion of the land needed for a restaurant he desired to build and operate, but the back portion was the subject of a will dispute between a sister and ","C is correct. A quitclaim deed, even when the holder is aware that their claim to the property is doubtful, is sufficient consideration to form a contract. A A is incorrect. An unequal exchange of value between two parties will not, by itself, invalidate the consideration. B is incorrect. The ""legal detriment"" aspect o"
224,14448,55020102,reviewed,mailbox acceptance and additional terms,"A restaurant supplier sent a letter to a regular customer offering to sell the customer an industrial freezer for $10,000. Two days later, the customer responded with a letter that","C is correct. An enforceable contract was formed when the customer mailed the acceptance to the supplier. The customer's ""condition"" of a warranty of merchantability was not an additional or different term that turned the acceptance into a counteroffer because that warranty is implied in every contract for the sale of "
225,14422,55020102,reviewed,battle-of-forms additional arbitration term,A buyer sent a seller an offer to buy 50 tons of cotton of a specified quality. The offer contained no terms except those specifying the amount and quality of the cotton. The selle,"C is correct. Because the buyer's offer was silent as to arbitration, the arbitration provision in the seller's acknowledgment should be characterized as an additional term. The arbitration provision will be considered a term of the contract if the seller can successfully argue that the provision did not materially alt"
226,14413,55020101,high,Offer,"While waiting in line to open an account with a bank, a customer read a poster on the bank's wall that said, “New Customers! $25 FOR 5 MINUTES. If you stand in line for more than f","C is correct. By beginning performance on the unilateral contract established by the poster, the bank's offer became an option contract and thus irrevocable. A A is incorrect. Completion of performance is what constitutes acceptance, but it is not necessary to render the offer irrevocable. As such, the manager's remova"
227,14435,56050200,reviewed,modification not supported by consideration,"A car dealer owed a bank $10,000, due on June 1. The dealer subsequently sold a car to a buyer at a price of $10,000, payable at $1,000 per month beginning on June 1. The dealer th","C is correct. The bank's agreement to allow the dealer to pay the debt in installments was not supported by consideration necessary to make this modification enforceable. A A is incorrect. The agreement did not need to be in a signed writing to be effective. However, the agreement did need to be supported by considerat"
228,14409,56050602,reviewed,impracticability and assumed risk,"For an agreed price of $20 million, a builder specializing in large scale construction projects contracted with a property owner to design and build on the property owner's commerc","C is correct. The builder is engaged in the business of excavation and had the opportunity to investigate the condition of the ground. He knew that he had to excavate at least 25 feet and failed to do any test inspections ahead of time. Therefore, the contractual duty will not be discharged for increased price and diff"
229,14429,55020400,high,Implied-in-fact contracts,Which of the following fact patterns most clearly suggests an implied-in-fact contract?,"C is correct. The contractor took the action of paving the neighbor's driveway, and when the neighbor saw the contractor doing this, he did not say or do anything to object, thus forming an implied-in-fact contract based on conduct rather than oral or written communication. A A is incorrect. This is not a scenario in w"
230,14408,55020101,high,Offer,"On May 1, an uncle mailed a letter to his adult nephew that stated: “I am thinking of selling my pickup truck, which you have seen and ridden in. I would consider taking $7,000 for","C is correct. The uncle's original letter was not an offer. It was merely a statement indicating a possible interest in selling the truck, and a suggestion as to a price that might be acceptable. It would be regarded, if anything, as a statement soliciting an offer. The nephew's letter, mailed on May 3, constituted an "
231,14431,56050200,reviewed,modification for unforeseen difficulty,"A construction company contracted with a warehouse owner to construct for $500,000 a warehouse and an access driveway at highway level. Shortly after commencing work on the drivewa","C is correct. Under common law, a modification of a contract is unenforceable when there is no new consideration. However, where there is an unforeseen difficulty so severe it rises to the level of impracticability, the consideration required for modification will be considered satisfied by the party's promise to compl"
232,14446,56050200,reviewed,UCC good-faith modification,"On June 1, a widget manufacturer entered into a written agreement with a tool maker in which the tool maker agreed to produce and sell to the manufacturer 12 sets of newly designed","C is correct. Under the UCC, a modification to a contract for the sale of goods needs no additional consideration to be binding if the modification was made in good faith. Although the modification increasing the purchase price under the tool maker-manufacturer contract was not supported by consideration, the modificat"
233,14436,54030100,high,Lack of Capacity,"A girl, who was a minor both in fact and appearance, bought on credit and took delivery of a telescope from a 30-year- old seller for an agreed price of $100. Soon after reaching t","C is correct. When a promise is voidable, the promisor may later reaffirm the promise, even without new consideration, and it will still be enforceable. Here, the girl's promise to pay $100 was not enforceable because she was an infant, but her later promise to pay $75 for the telescope was not voidable because she was"
234,14427,55020101,high,Offer,"A seller sent an email to a potential buyer, offering to sell his house to her for $150,000. The buyer immediately responded via email, asking whether the offer included the house'",D is correct. A reply to an offer that merely requests information regarding the offer constitutes an inquiry rather than a counteroffer. The buyer's response asking whether the seller intended to include the front porch swing in his offer was an inquiry rather than a counteroffer. The buyer's subsequent email stating 
235,14419,55020101,high,Offer,"On March 1, an apartment complex received a letter from a retailer offering to sell the apartment complex 1,200 window air conditioners suitable for the apartments in the complex's","D is correct. Because the retailer's firm offer stated that the apartment complex's acceptance must be received on or before March 20, and the apartment complex's acceptance did not arrive until March 21, it was ineffective in establishing a contract. A A is incorrect. This was a UCC firm offer, which means it was irre"
236,14423,56050102,reviewed,promise payable when able,"A woman bought on credit and took delivery of a telescope from a seller for an agreed price of $100. The woman promised to pay the seller, ""as soon as I am able."" The woman subsequ","D is correct. Because the woman made a promise to pay as soon as she was able, she will have to pay it once it is proven that she has $100. A A is incorrect. Nothing in this promise would give one of the parties grounds to void the contract, such as duress or undue influence from the seller. B is incorrect. The woman's"
237,14420,55020102,reviewed,shipment as acceptance and breach,"A buyer ordered from a seller 500 bushels of No. 1 Royal Fuzz peaches, at a specified price, ""for prompt shipment."" The seller promptly shipped 500 bushels, but by mistake shipped ","D is correct. By shipping non-conforming goods (the No. 2 peaches rather than No. 1), the seller was accepting the buyer's offer, thus forming a contract, and breaching it at the same time. Without any evidence that the seller tried to notify the buyer or offer the No. 2 peaches as an accommodation, the buyer may simpl"
238,14444,56050403,high,Anticipatory repudiation,"A potential buyer telegraphed a vendor on June 1, ""At what price will you sell 100 of your QT-Model garbage-disposal units for delivery around June 10?"" Thereafter, the following c","D is correct. If the June 9 communication was an unequivocal refusal to perform by the potential buyer, it would act as a repudiation and the vendor would have no obligation to perform, even under an existing contract. A A is incorrect. The vendor's June 2 communication manifested an intent to make an offer, even if it"
239,14421,55020201,reviewed,bargained-for consideration,"An owner and operator of a small business encourages ""wellness"" on the part of his employees and supports various physical-fitness programs to that end. Learning that one of his em","D is correct. In order to be enforceable, a promise must be supported by bargained-for consideration. Consideration is bargained for if it is given by the promisee in exchange for the promise. It does not matter that the promisee may have benefited from the requested performance, or that her motives for furnishing the "
240,14442,55020100,medium,Mutual Assent,"A niece had worked in her aunt's bookstore for many years. The bookstore business, which was housed in a building that the aunt leased, was independently appraised at $200,000. The","D is correct. Manifestations of assent are sufficient to conclude an enforceable contract even though parties manifest intent to memorialize their agreement in a writing that is not subsequently prepared. Here, the parties' agreement on essential terms constituted the manifestation of mutual assent sufficient to create"
241,14450,55020101,high,Offer,"A buyer mailed a signed order to a seller that read: ""Please ship us 10,000 widgets at your current price."" The seller received the order on January 7 and that same day mailed to t","D is correct. The buyer's order was mailed, which invited acceptance also by mail, which the seller properly did, thus establishing a valid contract when it was dispatched on January 7. The buyer's January 8 attempt at revocation was therefore ineffective because a valid contract had already been formed. A A is incorre"
